javafx: 10567
scene: 7720
beans: 3053
property: 2510
Node: 2264
css: 1534
layout: 1178
get(): 995
ObjectPropertyBase: 933
<init>(): 847
sun: 663
Styleable): 652
control: 617
CssStyleHelper: 601
Region: 552
getParent(): 485
Parent: 475
isSettable(javafx: 456
text: 453
binding: 452
Scene: 407
util: 378
<init>(javafx: 294
getValue(): 272
DoublePropertyBase: 259
getScene(): 258
collections: 252
Text: 238
StyleMap, java: 231
Node): 226
BooleanPropertyBase: 224
DirtyBits): 207
CssStyleHelper$CacheContainer: 206
Set): 205
fxml: 201
getStyleableParent(): 192
getStyleMap(javafx: 176
Styleable, String, com: 173
shape: 172
ObjectExpression: 166
getRoot(): 164
stage: 162
impl_markDirty(com: 152
HBox: 138
fireValueChangedEvent(): 132
BooleanExpression: 131
ReadOnlyObjectProperty: 128
markInvalid(): 126
<init>(Object): 126
isBound(): 123
Labeled: 119
getStyleableProperty(javafx: 119
impl_geomChanged(): 118
invalidated(): 115
geometry: 114
access$700(javafx: 112
StringPropertyBase: 112
requestLayout(): 108
ListChangeBuilder: 108
notifyParentOfBoundsChange(): 102
transformedBoundsChanged(): 102
DoubleExpression: 96
ObjectProperty: 96
VBox: 92
resolveRef(javafx: 92
Labeled): 88
CacheContainer, javafx: 88
set(Object): 88
Shape: 84
markDirtyLayout(boolean): 82
Styleable, com: 78
Set, javafx: 78
StyleableObjectProperty: 74
Control: 73
ReadOnlyObjectWrapper: 71
Region): 68
FXMLLoader: 67
requestParentLayout(): 66
1): 66
FXMLLoader$Element: 65
SimpleObjectProperty: 64
isVisible(): 63
set(double): 62
ReadOnlyBooleanProperty: 62
ObservableListBase: 61
getStyle(javafx: 61
Node$LazyBoundsProperty: 60
paint: 59
impl_isDirtyEmpty(): 56
ReadOnlyObjectWrapper$ReadOnlyPropertyImpl: 56
childBoundsChanged(javafx: 56
Camera: 55
Window: 54
resolveLookups(javafx: 52
ObjectProperty, java: 52
Text): 52
ParsedValueImpl, com: 52
image: 51
<init>(Object, String): 50
BooleanProperty: 50
addListener(javafx: 48
InvalidationListener): 48
ReadOnlyDoubleProperty: 48
Labeled$StyleableProperties$1: 48
setLayoutFlag(com: 44
LayoutFlags): 44
value: 43
set(boolean): 42
Scene): 41
DoubleProperty: 40
Region$InsetsProperty: 40
SimpleBooleanProperty: 40
Node, boolean): 39
Node, com: 39
prefWidth(double): 39
Scene, javafx: 38
endChange(): 36
prefHeight(double): 36
CalculatedValue): 36
StringExpression: 35
ReadOnlyObjectPropertyBase: 34
Node$TreeVisiblePropertyReadOnly: 34
isManaged(): 34
Image: 33
getInsets(): 32
getBorder(): 32
ReadOnlyBooleanWrapper: 32
getPadding(): 32
getFont(): 32
clearSizeCache(): 31
setChildDirty(javafx: 31
isWrapText(): 30
isUserSetFont(javafx: 30
ReadOnlyDoubleWrapper: 30
snapSpace(double): 30
Stage: 30
getReadOnlyProperty(): 29
beginChange(): 27
ReadOnlyBooleanWrapper$ReadOnlyPropertyImpl: 26
